42, J1908+0734, nft95, 0.2123526733, 2, cn95, 8.2459E-16, 6, cn95, 0.58, -0, 0.38, 8.07, 2.0000e-12, *, *, 6.0000e-20
43, B1604-00, vl70, 0.4218162336, 13, hlk+04, 3.060926E-16, 6, hlk+04, 0.59, 0.34, 0.09, 8.03, 1.3000e-13, *, *, 6.0000e-22
44, B1257+12, wol90a, 0.0062185319, 3, kw03, 1.143341E-19, 4, kw03, 0.6, 0.58, -0.11, 8.4, 3.0000e-17, *, *, 4.0000e-25
45, B0906-17, mlt+78, 0.4016256234, 18, hlk+04, 6.695000E-16, 17, hlk+04, 0.63, 0.21, -0.54, 8.74, 1.8000e-13, *, *, 1.7000e-21
46, J1933-6211, jbo+07, 0.0035434314, 1, jbo+07, 0.37E-20, 1, jbo+07, 0.63, -0.3, -0.24, 8, 1.0000e-15, *, *, 1.0000e-22
47, J2241-5236, kjr+11, 0.0021866998, 15, kjr+11, 6.64E-21, 5, kjr+11, 0.68, -0.56, -0.15, 8.14, 1.5000e-15, *, *, 5.0000e-23
48, B0942-13, mlt+78, 0.5702641246, 4, hlk+04, 4.5256E-17, 3, hlk+04, 0.69, 0.33, -0.56, 8.72, 4.0000e-13, *, *, 3.0000e-21
49, J1012+5307, nll+95, 0.005255749, 12, lcw+01, 1.71342E-20, 12, lcw+01, 0.7, 0.54, 0.15, 8.92, 1.2000e-16, *, *, 1.2000e-24
50, J1518+4904, nst96, 0.0409349889, 6, jsk+08, 2.7190E-20, 3, jsk+08, 0.7, 0.57, 0.4, 8.43, 6.0000e-16, *, *, 3.0000e-24
51, B1857-26, vl70, 0.6122092044, 7, hlk+04, 2.04534E-16, 5, hlk+04, 0.7, -0.16, 0.12, 7.83, 7.0000e-13, *, *, 5.0000e-21
52, B0834+06, phbc68, 1.2737682916, 7, hlk+04, 6.799219E-15, 5, hlk+04, 0.72, 0.32, -0.41, 9, 7.0000e-13, *, *, 5.0000e-21
53, J0101-6422, kcj+12, 0.002573152, 2, kcj+12, 5.16E-21, 3, kcj+12, 0.73, -0.58, -0.38, 8.27, 2.0000e-16, *, *, 3.0000e-23
54, J1455-3330, lnl+95, 0.0079872048, 4, hlk+04, 2.428E-20, 6, hlk+04, 0.74, 0.28, -0.33, 7.9, 4.0000e-15, *, *, 6.0000e-23
55, J1829+2456, clm+04, 0.0410098236, 4, clm+05, 5.25E-20, 15, clm+05, 0.74, 0.2, 0.57, 8.07, 4.0000e-14, *, *, 1.5000e-21
56, J2302+4442, cgj+11, 0.0051923246, 7, cgj+11, 13.3E-21, 5, cgj+11, 0.75, -0.18, 0.71, 8.67, 7.0000e-15, *, *, 5.0000e-22
57, J1439-5501, fsk+04, 0.0286348882, 12, lfl+06, 1.418E-19, 10, lfl+06, 0.76, 0.06, -0.51, 7.94, 1.2000e-14, *, *, 1.0000e-21
58, B1322+83, dbtb82, 0.6700374184, 3, hlk+04, 5.6630E-16, 3, hlk+04, 0.77, 0.43, 0.54, 8.84, 3.0000e-12, *, *, 3.0000e-20
59, J1817-0743, lfl+06, 0.4380953469, 18, lfl+06, -2.3E-18, 83, lfl+06, 0.77, 0.05, 0.29, 7.79, 1.8000e-11, *, *, 8.3000e-18
60, J1313+0931, lzb+00, 0.8489327507, 2, lzb+00, 8E-16, 1, lzb+00, 0.78, 0.74, -0.16, 8.31, 2.0000e-11, *, *, 1.0000e-16
61, J2322+2057, ntf93, 0.0048084282, 4, nt95, 9.70E-21, 3, nt95, 0.78, -0.47, 0.62, 8.57, 4.0000e-16, *, *, 3.0000e-23
62, B0149-16, mlt+78, 0.8327416127, 13, hlk+04, 1.299202E-15, 6, hlk+04, 0.79, -0.75, 0, 8.74, 1.3000e-12, *, *, 6.0000e-21
63, B0917+63, dtws85, 1.5679940185, 4, hlk+04, 3.60812E-15, 4, hlk+04, 0.79, 0.52, 0.29, 9.03, 4.0000e-12, *, *, 4.0000e-20
64, J1732-3131, aaa+09c, 0.196543155, 20, rkp+11, 2.80483E-14, 12, rkp+11, 0.8, 0.01, -0.05, 7.7, 2.0000e-11, *, *, 1.2000e-18
65, J0900-3144, bjd+06, 0.0111096492, 12, bjd+06, 0.00004912E-15, 12, bjd+06, 0.82, 0.14, -0.79, 8.69, 1.2000e-15, *, *, 1.2000e-22
66, B1237+25, lan69, 1.382449103, 10, hlk+04, 9.60049E-16, 3, hlk+04, 0.84, 0.84, -0.05, 8.52, 1.0000e-12, *, *, 3.0000e-21
67, J1332-3032, lml+98, 0.6504344906, 17, hlk+04, 5.603E-16, 4, hlk+04, 0.87, 0.45, -0.54, 7.99, 1.7000e-11, *, *, 4.0000e-19
68, B0203-40, mlt+78, 0.6305501408, 6, smd93, 1.1994E-15, 5, smd93, 0.88, -0.82, -0.3, 8.56, 6.0000e-12, *, *, 5.0000e-19
69, J0613-0200, lnl+95, 0.0030618441, 4, vbc+09, 9.5913E-21, 8, vbc+09, 0.9, -0.15, -0.45, 9.27, 4.0000e-17, *, *, 8.0000e-25
